Clauses,T,s,Accuracy(%),,"? 数据加载成功！X 形状: (1928, 128), y 形状: (1928,)"
3000,150,4.13,89.11917098445595,,"[192/560] 训练中: N=100, T=50, s=100.0 ... 验证率: 46.37%, 耗时/轮: 0.03s"
3000,150,8,91.19170984455958,,"[193/560] 训练中: N=100, T=100, s=1.1 ... 验证率: 89.12%, 耗时/轮: 0.13s"
3000,150,15.49,90.93264248704664,,"[194/560] 训练中: N=100, T=100, s=2.1 ... 验证率: 86.53%, 耗时/轮: 0.08s"
3000,150,30,90.41450777202073,,"[195/560] 训练中: N=100, T=100, s=3.99 ... 验证率: 81.35%, 耗时/轮: 0.05s"
3000,200,1.1,91.45077720207254,,"[196/560] 训练中: N=100, T=100, s=7.6 ... 验证率: 77.46%, 耗时/轮: 0.04s"
3000,200,2.13,92.2279792746114,,"[197/560] 训练中: N=100, T=100, s=14.47 ... 验证率: 69.95%, 耗时/轮: 0.03s"
3000,200,4.13,90.67357512953367,,"[198/560] 训练中: N=100, T=100, s=27.57 ... 验证率: 62.44%, 耗时/轮: 0.03s"
3000,200,8,91.70984455958549,,"[199/560] 训练中: N=100, T=100, s=52.5 ... 验证率: 51.04%, 耗时/轮: 0.03s"
3000,200,15.49,89.89637305699482,,"[200/560] 训练中: N=100, T=100, s=100.0 ... 验证率: 49.48%, 耗时/轮: 0.03s"
3000,200,30,88.3419689119171,,"[201/560] 训练中: N=100, T=200, s=1.1 ... 验证率: 84.46%, 耗时/轮: 0.25s"
,,,,,"[202/560] 训练中: N=100, T=200, s=2.1 ... 验证率: 87.31%, 耗时/轮: 0.09s"
,,,,,"[203/560] 训练中: N=100, T=200, s=3.99 ... 验证率: 82.64%, 耗时/轮: 0.05s"
,,,,,"[204/560] 训练中: N=100, T=200, s=7.6 ... 验证率: 74.61%, 耗时/轮: 0.04s"
,,,,,"[205/560] 训练中: N=100, T=200, s=14.47 ... 验证率: 69.69%, 耗时/轮: 0.03s"
,,,,,"[206/560] 训练中: N=100, T=200, s=27.57 ... 验证率: 63.47%, 耗时/轮: 0.03s"
,,,,,"[207/560] 训练中: N=100, T=200, s=52.5 ... 验证率: 54.15%, 耗时/轮: 0.03s"
,,,,,"[208/560] 训练中: N=100, T=200, s=100.0 ... 验证率: 43.78%, 耗时/轮: 0.03s"
,,,,,"[209/560] 训练中: N=100, T=500, s=1.1 ... 验证率: 84.46%, 耗时/轮: 0.19s"
,,,,,"[210/560] 训练中: N=100, T=500, s=2.1 ... 验证率: 83.42%, 耗时/轮: 0.09s"
,,,,,"[211/560] 训练中: N=100, T=500, s=3.99 ... 验证率: 84.46%, 耗时/轮: 0.05s"
,,,,,"[212/560] 训练中: N=100, T=500, s=7.6 ... 验证率: 75.13%, 耗时/轮: 0.04s"
,,,,,"[213/560] 训练中: N=100, T=500, s=14.47 ... 验证率: 72.28%, 耗时/轮: 0.04s"
,,,,,"[214/560] 训练中: N=100, T=500, s=27.57 ... 验证率: 60.62%, 耗时/轮: 0.03s"
,,,,,"[215/560] 训练中: N=100, T=500, s=52.5 ... 验证率: 54.92%, 耗时/轮: 0.03s"
,,,,,"[216/560] 训练中: N=100, T=500, s=100.0 ... 验证率: 46.11%, 耗时/轮: 0.03s"
,,,,,"[217/560] 训练中: N=100, T=1000, s=1.1 ... 验证率: 82.12%, 耗时/轮: 0.28s"
,,,,,"[218/560] 训练中: N=100, T=1000, s=2.1 ... 验证率: 77.20%, 耗时/轮: 0.10s"
,,,,,"[219/560] 训练中: N=100, T=1000, s=3.99 ... 验证率: 78.24%, 耗时/轮: 0.05s"
,,,,,"[220/560] 训练中: N=100, T=1000, s=7.6 ... 验证率: 75.13%, 耗时/轮: 0.04s"
,,,,,"[221/560] 训练中: N=100, T=1000, s=14.47 ... 验证率: 66.58%, 耗时/轮: 0.04s"
,,,,,"[222/560] 训练中: N=100, T=1000, s=27.57 ... 验证率: 62.18%, 耗时/轮: 0.03s"
,,,,,"[223/560] 训练中: N=100, T=1000, s=52.5 ... 验证率: 55.18%, 耗时/轮: 0.03s"
,,,,,"[224/560] 训练中: N=100, T=1000, s=100.0 ... 验证率: 45.60%, 耗时/轮: 0.03s"
,,,,,"[225/560] 训练中: N=500, T=5, s=1.1 ... 验证率: 77.72%, 耗时/轮: 0.20s"
,,,,,"[226/560] 训练中: N=500, T=5, s=2.1 ... 验证率: 91.45%, 耗时/轮: 0.10s"
,,,,,"[227/560] 训练中: N=500, T=5, s=3.99 ... 验证率: 86.01%, 耗时/轮: 0.05s"
,,,,,"[228/560] 训练中: N=500, T=5, s=7.6 ... 验证率: 88.86%, 耗时/轮: 0.04s"
,,,,,"[229/560] 训练中: N=500, T=5, s=14.47 ... 验证率: 89.90%, 耗时/轮: 0.04s"
,,,,,"[230/560] 训练中: N=500, T=5, s=27.57 ... 验证率: 89.90%, 耗时/轮: 0.04s"
,,,,,"[231/560] 训练中: N=500, T=5, s=52.5 ... 验证率: 89.90%, 耗时/轮: 0.04s"
,,,,,"[232/560] 训练中: N=500, T=5, s=100.0 ... 验证率: 88.34%, 耗时/轮: 0.05s"
,,,,,"[233/560] 训练中: N=500, T=20, s=1.1 ... 验证率: 90.93%, 耗时/轮: 0.26s"
,,,,,"[234/560] 训练中: N=500, T=20, s=2.1 ... 验证率: 86.53%, 耗时/轮: 0.10s"
,,,,,"[235/560] 训练中: N=500, T=20, s=3.99 ... 验证率: 85.49%, 耗时/轮: 0.05s"
,,,,,"[236/560] 训练中: N=500, T=20, s=7.6 ... 验证率: 90.16%, 耗时/轮: 0.04s"
,,,,,"[237/560] 训练中: N=500, T=20, s=14.47 ... 验证率: 88.86%, 耗时/轮: 0.04s"
,,,,,"[238/560] 训练中: N=500, T=20, s=27.57 ... 验证率: 90.67%, 耗时/轮: -0.03s"
,,,,,"[239/560] 训练中: N=500, T=20, s=52.5 ... 验证率: 89.12%, 耗时/轮: 0.07s"
,,,,,"[240/560] 训练中: N=500, T=20, s=100.0 ... 验证率: 73.32%, 耗时/轮: 0.11s"
,,,,,"[241/560] 训练中: N=500, T=50, s=1.1 ... 验证率: 90.93%, 耗时/轮: 0.28s"
,,,,,"[242/560] 训练中: N=500, T=50, s=2.1 ... 验证率: 91.19%, 耗时/轮: 0.10s"
,,,,,"[243/560] 训练中: N=500, T=50, s=3.99 ... 验证率: 91.45%, 耗时/轮: 0.06s"
,,,,,"[244/560] 训练中: N=500, T=50, s=7.6 ... 验证率: 91.19%, 耗时/轮: 0.05s"
,,,,,"[245/560] 训练中: N=500, T=50, s=14.47 ... 验证率: 91.71%, 耗时/轮: 0.06s"
,,,,,"[246/560] 训练中: N=500, T=50, s=27.57 ... 验证率: 87.31%, 耗时/轮: 0.09s"
,,,,,"[247/560] 训练中: N=500, T=50, s=52.5 ... 验证率: 80.05%, 耗时/轮: 0.11s"
,,,,,"[248/560] 训练中: N=500, T=50, s=100.0 ... 验证率: 74.87%, 耗时/轮: 0.04s"
,,,,,"[249/560] 训练中: N=500, T=100, s=1.1 ... 验证率: 91.71%, 耗时/轮: 0.36s"
,,,,,"[250/560] 训练中: N=500, T=100, s=2.1 ... 验证率: 91.71%, 耗时/轮: 0.13s"
,,,,,"[251/560] 训练中: N=500, T=100, s=3.99 ... 验证率: 90.16%, 耗时/轮: 0.08s"
,,,,,"[252/560] 训练中: N=500, T=100, s=7.6 ... 验证率: 88.86%, 耗时/轮: 0.09s"
,,,,,"[253/560] 训练中: N=500, T=100, s=14.47 ... 验证率: 87.56%, 耗时/轮: 0.11s"
,,,,,"[254/560] 训练中: N=500, T=100, s=27.57 ... 验证率: 81.35%, 耗时/轮: 0.13s"
,,,,,"[255/560] 训练中: N=500, T=100, s=52.5 ... 验证率: 75.91%, 耗时/轮: 0.13s"
,,,,,"[256/560] 训练中: N=500, T=100, s=100.0 ... 验证率: 67.62%, 耗时/轮: 0.05s"
,,,,,"[257/560] 训练中: N=500, T=200, s=1.1 ... 验证率: 90.93%, 耗时/轮: 0.52s"
,,,,,"[258/560] 训练中: N=500, T=200, s=2.1 ... 验证率: 89.90%, 耗时/轮: 0.21s"
,,,,,"[259/560] 训练中: N=500, T=200, s=3.99 ... 验证率: 90.67%, 耗时/轮: 0.14s"
,,,,,"[260/560] 训练中: N=500, T=200, s=7.6 ... 验证率: 89.12%, 耗时/轮: 0.05s"
,,,,,"[261/560] 训练中: N=500, T=200, s=14.47 ... 验证率: 81.35%, 耗时/轮: 0.14s"
,,,,,"[262/560] 训练中: N=500, T=200, s=27.57 ... 验证率: 76.42%, 耗时/轮: 0.14s"
,,,,,"[263/560] 训练中: N=500, T=200, s=52.5 ... 验证率: 74.87%, 耗时/轮: 0.14s"
,,,,,"[264/560] 训练中: N=500, T=200, s=100.0 ... 验证率: 68.13%, 耗时/轮: 0.13s"
,,,,,"[265/560] 训练中: N=500, T=500, s=1.1 ... 验证率: 86.27%, 耗时/轮: 0.98s"
,,,,,"[266/560] 训练中: N=500, T=500, s=2.1 ... 验证率: 87.82%, 耗时/轮: 0.39s"
,,,,,"[267/560] 训练中: N=500, T=500, s=3.99 ... 验证率: 86.01%, 耗时/轮: 0.13s"
,,,,,"[268/560] 训练中: N=500, T=500, s=7.6 ... 验证率: 85.75%, 耗时/轮: 0.17s"
,,,,,"[269/560] 训练中: N=500, T=500, s=14.47 ... 验证率: 81.87%, 耗时/轮: 0.16s"
,,,,,"[270/560] 训练中: N=500, T=500, s=27.57 ... 验证率: 76.17%, 耗时/轮: 0.15s"
,,,,,"[271/560] 训练中: N=500, T=500, s=52.5 ... 验证率: 75.13%, 耗时/轮: 0.14s"
,,,,,"[272/560] 训练中: N=500, T=500, s=100.0 ... 验证率: 69.17%, 耗时/轮: 0.14s"
,,,,,"[273/560] 训练中: N=500, T=1000, s=1.1 ... 验证率: 83.16%, 耗时/轮: 1.17s"
,,,,,"[274/560] 训练中: N=500, T=1000, s=2.1 ... 验证率: 86.53%, 耗时/轮: 0.35s"
,,,,,"[275/560] 训练中: N=500, T=1000, s=3.99 ... 验证率: 85.23%, 耗时/轮: 0.23s"
,,,,,"[276/560] 训练中: N=500, T=1000, s=7.6 ... 验证率: 82.90%, 耗时/轮: 0.18s"
,,,,,"[277/560] 训练中: N=500, T=1000, s=14.47 ... 验证率: 80.31%, 耗时/轮: 0.16s"
,,,,,"[278/560] 训练中: N=500, T=1000, s=27.57 ... 验证率: 80.83%, 耗时/轮: 0.06s"
,,,,,"[279/560] 训练中: N=500, T=1000, s=52.5 ... 验证率: 68.91%, 耗时/轮: 0.14s"
,,,,,"[280/560] 训练中: N=500, T=1000, s=100.0 ... 验证率: 67.62%, 耗时/轮: 0.13s"
,,,,,"[281/560] 训练中: N=1000, T=5, s=1.1 ... 验证率: 88.08%, 耗时/轮: 0.58s"
,,,,,"[282/560] 训练中: N=1000, T=5, s=2.1 ... 验证率: 90.67%, 耗时/轮: 0.13s"
,,,,,"[283/560] 训练中: N=1000, T=5, s=3.99 ... 验证率: 84.20%, 耗时/轮: 0.10s"
,,,,,"[284/560] 训练中: N=1000, T=5, s=7.6 ... 验证率: 87.56%, 耗时/轮: 0.07s"
,,,,,"[285/560] 训练中: N=1000, T=5, s=14.47 ... 验证率: 88.34%, 耗时/轮: 0.06s"
,,,,,"[286/560] 训练中: N=1000, T=5, s=27.57 ... 验证率: 91.19%, 耗时/轮: 0.07s"
,,,,,"[287/560] 训练中: N=1000, T=5, s=52.5 ... 验证率: 88.08%, 耗时/轮: 0.07s"
,,,,,"[288/560] 训练中: N=1000, T=5, s=100.0 ... 验证率: 89.90%, 耗时/轮: 0.09s"
,,,,,"[289/560] 训练中: N=1000, T=20, s=1.1 ... 验证率: 83.42%, 耗时/轮: 0.53s"
,,,,,"[290/560] 训练中: N=1000, T=20, s=2.1 ... 验证率: 88.86%, 耗时/轮: 0.19s"
,,,,,"[291/560] 训练中: N=1000, T=20, s=3.99 ... 验证率: 86.79%, 耗时/轮: 0.10s"
,,,,,"[292/560] 训练中: N=1000, T=20, s=7.6 ... 验证率: 89.12%, 耗时/轮: 0.07s"
,,,,,"[293/560] 训练中: N=1000, T=20, s=14.47 ... 验证率: 90.41%, 耗时/轮: 0.07s"
,,,,,"[294/560] 训练中: N=1000, T=20, s=27.57 ... 验证率: 90.93%, 耗时/轮: 0.08s"
,,,,,"[295/560] 训练中: N=1000, T=20, s=52.5 ... 验证率: 90.16%, 耗时/轮: 0.10s"
,,,,,"[296/560] 训练中: N=1000, T=20, s=100.0 ... 验证率: 87.05%, 耗时/轮: 0.14s"
,,,,,"[297/560] 训练中: N=1000, T=50, s=1.1 ... 验证率: 90.67%, 耗时/轮: 0.41s"
,,,,,"[298/560] 训练中: N=1000, T=50, s=2.1 ... 验证率: 91.19%, 耗时/轮: 0.19s"
,,,,,"[299/560] 训练中: N=1000, T=50, s=3.99 ... 验证率: 89.12%, 耗时/轮: 0.10s"
,,,,,"[300/560] 训练中: N=1000, T=50, s=7.6 ... 验证率: 91.19%, 耗时/轮: 0.08s"
,,,,,"[301/560] 训练中: N=1000, T=50, s=14.47 ... 验证率: 91.19%, 耗时/轮: 0.09s"
,,,,,"[302/560] 训练中: N=1000, T=50, s=27.57 ... 验证率: 88.60%, 耗时/轮: 0.11s"
,,,,,"[303/560] 训练中: N=1000, T=50, s=52.5 ... 验证率: 82.90%, 耗时/轮: 0.16s"
,,,,,"[304/560] 训练中: N=1000, T=50, s=100.0 ... 验证率: 87.05%, 耗时/轮: 0.14s"
,,,,,"[305/560] 训练中: N=1000, T=100, s=1.1 ... 验证率: 91.71%, 耗时/轮: 0.56s"
,,,,,"[306/560] 训练中: N=1000, T=100, s=2.1 ... 验证率: 91.97%, 耗时/轮: 0.20s"
,,,,,"[307/560] 训练中: N=1000, T=100, s=3.99 ... 验证率: 90.41%, 耗时/轮: 0.11s"
,,,,,"[308/560] 训练中: N=1000, T=100, s=7.6 ... 验证率: 89.38%, 耗时/轮: 0.10s"
,,,,,"[309/560] 训练中: N=1000, T=100, s=14.47 ... 验证率: 90.93%, 耗时/轮: 0.05s"
,,,,,"[310/560] 训练中: N=1000, T=100, s=27.57 ... 验证率: 89.64%, 耗时/轮: 0.18s"
,,,,,"[311/560] 训练中: N=1000, T=100, s=52.5 ... 验证率: 83.94%, 耗时/轮: 0.23s"
,,,,,"[312/560] 训练中: N=1000, T=100, s=100.0 ... 验证率: 77.20%, 耗时/轮: 0.26s"
,,,,,"[313/560] 训练中: N=1000, T=200, s=1.1 ... 验证率: 91.97%, 耗时/轮: 0.70s"
,,,,,"[314/560] 训练中: N=1000, T=200, s=2.1 ... 验证率: 91.71%, 耗时/轮: 0.29s"
,,,,,"[315/560] 训练中: N=1000, T=200, s=3.99 ... 验证率: 90.93%, 耗时/轮: 0.18s"
,,,,,"[316/560] 训练中: N=1000, T=200, s=7.6 ... 验证率: 87.31%, 耗时/轮: 0.11s"
,,,,,"[317/560] 训练中: N=1000, T=200, s=14.47 ... 验证率: 87.82%, 耗时/轮: 0.23s"
,,,,,"[318/560] 训练中: N=1000, T=200, s=27.57 ... 验证率: 84.72%, 耗时/轮: 0.28s"
,,,,,"[319/560] 训练中: N=1000, T=200, s=52.5 ... 验证率: 81.87%, 耗时/轮: 0.29s"
,,,,,"[320/560] 训练中: N=1000, T=200, s=100.0 ... 验证率: 73.58%, 耗时/轮: 0.20s"
,,,,,"[321/560] 训练中: N=1000, T=500, s=1.1 ... 验证率: 88.34%, 耗时/轮: 1.32s"
,,,,,"[322/560] 训练中: N=1000, T=500, s=2.1 ... 验证率: 88.34%, 耗时/轮: 0.56s"
,,,,,"[323/560] 训练中: N=1000, T=500, s=3.99 ... 验证率: 90.16%, 耗时/轮: 0.25s"
,,,,,"[324/560] 训练中: N=1000, T=500, s=7.6 ... 验证率: 89.90%, 耗时/轮: 0.31s"
,,,,,"[325/560] 训练中: N=1000, T=500, s=14.47 ... 验证率: 84.46%, 耗时/轮: 0.32s"
,,,,,"[326/560] 训练中: N=1000, T=500, s=27.57 ... 验证率: 83.94%, 耗时/轮: 0.24s"
,,,,,"[327/560] 训练中: N=1000, T=500, s=52.5 ... 验证率: 78.76%, 耗时/轮: 0.31s"
,,,,,"[328/560] 训练中: N=1000, T=500, s=100.0 ... 验证率: 75.65%, 耗时/轮: 0.29s"
,,,,,"[329/560] 训练中: N=1000, T=1000, s=1.1 ... 验证率: 86.79%, 耗时/轮: 2.09s"
,,,,,"[330/560] 训练中: N=1000, T=1000, s=2.1 ... 验证率: 88.34%, 耗时/轮: 0.73s"
,,,,,"[331/560] 训练中: N=1000, T=1000, s=3.99 ... 验证率: 87.31%, 耗时/轮: 0.44s"
,,,,,"[332/560] 训练中: N=1000, T=1000, s=7.6 ... 验证率: 85.49%, 耗时/轮: 0.27s"
,,,,,"[333/560] 训练中: N=1000, T=1000, s=14.47 ... 验证率: 82.90%, 耗时/轮: 0.32s"
,,,,,"[334/560] 训练中: N=1000, T=1000, s=27.57 ... 验证率: 82.12%, 耗时/轮: 0.31s"
,,,,,"[335/560] 训练中: N=1000, T=1000, s=52.5 ... 验证率: 79.53%, 耗时/轮: 0.20s"
,,,,,"[336/560] 训练中: N=1000, T=1000, s=100.0 ... 验证率: 73.83%, 耗时/轮: 0.27s"
,,,,,"[337/560] 训练中: N=1500, T=5, s=1.1 ... 验证率: 90.41%, 耗时/轮: 0.92s"
,,,,,"[338/560] 训练中: N=1500, T=5, s=2.1 ... 验证率: 91.97%, 耗时/轮: 0.32s"
,,,,,"[339/560] 训练中: N=1500, T=5, s=3.99 ... 验证率: 86.01%, 耗时/轮: 0.16s"
,,,,,"[340/560] 训练中: N=1500, T=5, s=7.6 ... 验证率: 85.49%, 耗时/轮: 0.11s"
,,,,,"[341/560] 训练中: N=1500, T=5, s=14.47 ... 验证率: 87.05%, 耗时/轮: 0.09s"
,,,,,"[342/560] 训练中: N=1500, T=5, s=27.57 ... 验证率: 88.60%, 耗时/轮: 0.10s"
,,,,,"[343/560] 训练中: N=1500, T=5, s=52.5 ... 验证率: 87.82%, 耗时/轮: 0.02s"
,,,,,"[344/560] 训练中: N=1500, T=5, s=100.0 ... 验证率: 87.05%, 耗时/轮: 0.13s"
,,,,,"[345/560] 训练中: N=1500, T=20, s=1.1 ... 验证率: 84.97%, 耗时/轮: 0.84s"
,,,,,"[346/560] 训练中: N=1500, T=20, s=2.1 ... 验证率: 90.93%, 耗时/轮: 0.23s"
,,,,,"[347/560] 训练中: N=1500, T=20, s=3.99 ... 验证率: 85.75%, 耗时/轮: 0.15s"
,,,,,"[348/560] 训练中: N=1500, T=20, s=7.6 ... 验证率: 86.53%, 耗时/轮: 0.10s"
,,,,,"[349/560] 训练中: N=1500, T=20, s=14.47 ... 验证率: 89.64%, 耗时/轮: 0.10s"
,,,,,"[350/560] 训练中: N=1500, T=20, s=27.57 ... 验证率: 87.82%, 耗时/轮: 0.11s"
,,,,,"[351/560] 训练中: N=1500, T=20, s=52.5 ... 验证率: 87.31%, 耗时/轮: 0.13s"
,,,,,"[352/560] 训练中: N=1500, T=20, s=100.0 ... 验证率: 90.41%, 耗时/轮: 0.18s"
,,,,,"[353/560] 训练中: N=1500, T=50, s=1.1 ... 验证率: 90.41%, 耗时/轮: 0.67s"
,,,,,"[354/560] 训练中: N=1500, T=50, s=2.1 ... 验证率: 84.97%, 耗时/轮: 0.29s"
,,,,,"[355/560] 训练中: N=1500, T=50, s=3.99 ... 验证率: 86.27%, 耗时/轮: 0.06s"
,,,,,"[356/560] 训练中: N=1500, T=50, s=7.6 ... 验证率: 90.16%, 耗时/轮: 0.11s"
,,,,,"[357/560] 训练中: N=1500, T=50, s=14.47 ... 验证率: 91.19%, 耗时/轮: 0.12s"
,,,,,"[358/560] 训练中: N=1500, T=50, s=27.57 ... 验证率: 88.60%, 耗时/轮: 0.15s"
,,,,,"[359/560] 训练中: N=1500, T=50, s=52.5 ... 验证率: 90.93%, 耗时/轮: 0.20s"
,,,,,"[360/560] 训练中: N=1500, T=50, s=100.0 ... 验证率: 82.90%, 耗时/轮: 0.30s"
,,,,,"[361/560] 训练中: N=1500, T=100, s=1.1 ... 验证率: 90.67%, 耗时/轮: 0.68s"
,,,,,"[362/560] 训练中: N=1500, T=100, s=2.1 ... 验证率: 92.23%, 耗时/轮: 0.28s"
,,,,,    ?? 发现新的最优参数组合！验证率: 92.23%
,,,,,"[363/560] 训练中: N=1500, T=100, s=3.99 ... 验证率: 91.45%, 耗时/轮: 0.15s"
,,,,,"[364/560] 训练中: N=1500, T=100, s=7.6 ... 验证率: 90.93%, 耗时/轮: 0.04s"
,,,,,"[365/560] 训练中: N=1500, T=100, s=14.47 ... 验证率: 90.16%, 耗时/轮: 0.15s"
,,,,,"[366/560] 训练中: N=1500, T=100, s=27.57 ... 验证率: 88.08%, 耗时/轮: 0.21s"
,,,,,"[367/560] 训练中: N=1500, T=100, s=52.5 ... 验证率: 84.46%, 耗时/轮: 0.29s"
,,,,,"[368/560] 训练中: N=1500, T=100, s=100.0 ... 验证率: 82.38%, 耗时/轮: 0.36s"
,,,,,"[369/560] 训练中: N=1500, T=200, s=1.1 ... 验证率: 91.97%, 耗时/轮: 0.84s"
,,,,,"[370/560] 训练中: N=1500, T=200, s=2.1 ... 验证率: 92.49%, 耗时/轮: 0.25s"
,,,,,    ?? 发现新的最优参数组合！验证率: 92.49%
,,,,,"[371/560] 训练中: N=1500, T=200, s=3.99 ... 验证率: 91.97%, 耗时/轮: 0.19s"
,,,,,"[372/560] 训练中: N=1500, T=200, s=7.6 ... 验证率: 91.45%, 耗时/轮: 0.19s"
,,,,,"[373/560] 训练中: N=1500, T=200, s=14.47 ... 验证率: 87.31%, 耗时/轮: 0.24s"
,,,,,"[374/560] 训练中: N=1500, T=200, s=27.57 ... 验证率: 83.42%, 耗时/轮: 0.23s"
,,,,,"[375/560] 训练中: N=1500, T=200, s=52.5 ... 验证率: 85.23%, 耗时/轮: 0.38s"
,,,,,"[376/560] 训练中: N=1500, T=200, s=100.0 ... 验证率: 80.05%, 耗时/轮: 0.40s"
,,,,,"[377/560] 训练中: N=1500, T=500, s=1.1 ... 验证率: 91.45%, 耗时/轮: 1.21s"
,,,,,"[378/560] 训练中: N=1500, T=500, s=2.1 ... 验证率: 90.41%, 耗时/轮: 0.53s"
,,,,,"[379/560] 训练中: N=1500, T=500, s=3.99 ... 验证率: 90.16%, 耗时/轮: 0.37s"
,,,,,"[380/560] 训练中: N=1500, T=500, s=7.6 ... 验证率: 91.19%, 耗时/轮: 0.27s"
,,,,,"[381/560] 训练中: N=1500, T=500, s=14.47 ... 验证率: 89.64%, 耗时/轮: 0.42s"
,,,,,"[382/560] 训练中: N=1500, T=500, s=27.57 ... 验证率: 86.01%, 耗时/轮: 0.42s"
,,,,,"[383/560] 训练中: N=1500, T=500, s=52.5 ... 验证率: 83.94%, 耗时/轮: 0.33s"
,,,,,"[384/560] 训练中: N=1500, T=500, s=100.0 ... 验证率: 81.35%, 耗时/轮: 0.40s"
,,,,,"[385/560] 训练中: N=1500, T=1000, s=1.1 ... 验证率: 87.05%, 耗时/轮: 2.32s"
,,,,,"[386/560] 训练中: N=1500, T=1000, s=2.1 ... 验证率: 89.38%, 耗时/轮: 0.89s"
,,,,,"[387/560] 训练中: N=1500, T=1000, s=3.99 ... 验证率: 88.60%, 耗时/轮: 0.58s"
,,,,,"[388/560] 训练中: N=1500, T=1000, s=7.6 ... 验证率: 86.01%, 耗时/轮: 0.41s"
,,,,,"[389/560] 训练中: N=1500, T=1000, s=14.47 ... 验证率: 88.86%, 耗时/轮: 0.46s"
,,,,,"[390/560] 训练中: N=1500, T=1000, s=27.57 ... 验证率: 83.16%, 耗时/轮: 0.44s"
,,,,,"[391/560] 训练中: N=1500, T=1000, s=52.5 ... 验证率: 81.61%, 耗时/轮: 0.33s"
,,,,,"[392/560] 训练中: N=1500, T=1000, s=100.0 ... 验证率: 74.61%, 耗时/轮: 0.41s"
,,,,,"[393/560] 训练中: N=2000, T=5, s=1.1 ... 验证率: 82.64%, 耗时/轮: 1.15s"
,,,,,"[394/560] 训练中: N=2000, T=5, s=2.1 ... 验证率: 89.90%, 耗时/轮: 0.35s"
,,,,,"[395/560] 训练中: N=2000, T=5, s=3.99 ... 验证率: 89.38%, 耗时/轮: 0.20s"
,,,,,"[396/560] 训练中: N=2000, T=5, s=7.6 ... 验证率: 87.05%, 耗时/轮: 0.14s"
,,,,,"[397/560] 训练中: N=2000, T=5, s=14.47 ... 验证率: 85.49%, 耗时/轮: 0.12s"
,,,,,"[398/560] 训练中: N=2000, T=5, s=27.57 ... 验证率: 88.34%, 耗时/轮: 0.12s"
,,,,,"[399/560] 训练中: N=2000, T=5, s=52.5 ... 验证率: 91.97%, 耗时/轮: 0.13s"
,,,,,"[400/560] 训练中: N=2000, T=5, s=100.0 ... 验证率: 88.08%, 耗时/轮: 0.16s"
,,,,,"[401/560] 训练中: N=2000, T=20, s=1.1 ... 验证率: 85.49%, 耗时/轮: 0.98s"
,,,,,"[402/560] 训练中: N=2000, T=20, s=2.1 ... 验证率: 90.93%, 耗时/轮: 0.41s"
,,,,,"[403/560] 训练中: N=2000, T=20, s=3.99 ... 验证率: 85.49%, 耗时/轮: 0.19s"
,,,,,"[404/560] 训练中: N=2000, T=20, s=7.6 ... 验证率: 86.53%, 耗时/轮: 0.14s"
,,,,,"[405/560] 训练中: N=2000, T=20, s=14.47 ... 验证率: 90.67%, 耗时/轮: 0.13s"
,,,,,"[406/560] 训练中: N=2000, T=20, s=27.57 ... 验证率: 89.12%, 耗时/轮: 0.14s"
,,,,,"[407/560] 训练中: N=2000, T=20, s=52.5 ... 验证率: 89.12%, 耗时/轮: 0.08s"
,,,,,"[408/560] 训练中: N=2000, T=20, s=100.0 ... 验证率: 87.31%, 耗时/轮: 0.21s"
,,,,,"[409/560] 训练中: N=2000, T=50, s=1.1 ... 验证率: 91.19%, 耗时/轮: 0.91s"
,,,,,"[410/560] 训练中: N=2000, T=50, s=2.1 ... 验证率: 90.16%, 耗时/轮: 0.38s"
,,,,,"[411/560] 训练中: N=2000, T=50, s=3.99 ... 验证率: 84.97%, 耗时/轮: 0.19s"
,,,,,"[412/560] 训练中: N=2000, T=50, s=7.6 ... 验证率: 89.90%, 耗时/轮: 0.14s"
,,,,,"[413/560] 训练中: N=2000, T=50, s=14.47 ... 验证率: 87.31%, 耗时/轮: 0.06s"
,,,,,"[414/560] 训练中: N=2000, T=50, s=27.57 ... 验证率: 89.38%, 耗时/轮: 0.17s"
,,,,,"[415/560] 训练中: N=2000, T=50, s=52.5 ... 验证率: 86.01%, 耗时/轮: 0.24s"
,,,,,"[416/560] 训练中: N=2000, T=50, s=100.0 ... 验证率: 81.61%, 耗时/轮: 0.34s"
,,,,,"[417/560] 训练中: N=2000, T=100, s=1.1 ... 验证率: 85.49%, 耗时/轮: 1.00s"
,,,,,"[418/560] 训练中: N=2000, T=100, s=2.1 ... 验证率: 86.01%, 耗时/轮: 0.33s"
,,,,,"[419/560] 训练中: N=2000, T=100, s=3.99 ... 验证率: 91.71%, 耗时/轮: 0.18s"
,,,,,"[420/560] 训练中: N=2000, T=100, s=7.6 ... 验证率: 91.19%, 耗时/轮: 0.15s"
,,,,,"[421/560] 训练中: N=2000, T=100, s=14.47 ... 验证率: 89.90%, 耗时/轮: 0.17s"
,,,,,"[422/560] 训练中: N=2000, T=100, s=27.57 ... 验证率: 86.53%, 耗时/轮: 0.22s"
,,,,,"[423/560] 训练中: N=2000, T=100, s=52.5 ... 验证率: 88.34%, 耗时/轮: 0.33s"
,,,,,"[424/560] 训练中: N=2000, T=100, s=100.0 ... 验证率: 82.64%, 耗时/轮: 0.42s"
,,,,,"[425/560] 训练中: N=2000, T=200, s=1.1 ... 验证率: 91.45%, 耗时/轮: 1.06s"
