Clauses,T,s,Accuracy(%),Time_per_Epoch(s)
2,5,1.1,66.58031088082902,0.009029102325439454
2,5,2.1,56.476683937823836,0.004480393727620443
2,5,3.99,46.63212435233161,0.0035557905832926434
2,5,7.6,40.15544041450777,0.0045841455459594725
2,5,14.47,33.160621761658035,0.003469538688659668
2,5,27.57,29.533678756476682,0.003414559364318848
2,5,52.5,27.72020725388601,0.0034395376841227215
2,5,100.0,26.42487046632124,0.0035352786382039387
2,20,1.1,60.362694300518136,0.00848999818166097
2,20,2.1,53.626943005181346,0.004549431800842285
2,20,3.99,51.29533678756477,0.0038334925969441733
2,20,7.6,34.196891191709845,0.003413860003153483
2,20,14.47,34.4559585492228,0.0035735289255777996
2,20,27.57,28.497409326424872,0.0034367640813191733
2,20,52.5,27.202072538860104,0.0034476359685262042
2,20,100.0,25.129533678756477,0.003489828109741211
2,50,1.1,57.2538860103627,0.008173926671346029
2,50,2.1,51.29533678756477,0.004528371493021647
2,50,3.99,49.48186528497409,0.0036269108454386394
2,50,7.6,38.60103626943005,0.003481435775756836
2,50,14.47,33.93782383419689,0.0034964323043823243
2,50,27.57,28.756476683937827,0.0034352858861287435
2,50,52.5,26.42487046632124,0.0037138779958089192
2,50,100.0,25.129533678756477,0.003360613187154134
2,100,1.1,64.50777202072538,0.008095876375834147
2,100,2.1,54.40414507772021,0.0045430660247802734
2,100,3.99,49.48186528497409,0.003949856758117676
2,100,7.6,31.865284974093267,0.0036737759908040363
2,100,14.47,30.310880829015545,0.003353158632914225
2,100,27.57,30.569948186528496,0.003598769505818685
2,100,52.5,26.94300518134715,0.003679180145263672
2,100,100.0,25.647668393782386,0.0036146004994710287
2,200,1.1,61.917098445595855,0.008168435096740723
2,200,2.1,52.84974093264248,0.004577986399332682
2,200,3.99,46.63212435233161,0.004170854886372884
2,200,7.6,38.60103626943005,0.004065759976704915
2,200,14.47,30.569948186528496,0.0034035046895345054
2,200,27.57,29.015544041450774,0.0034294923146565757
2,200,52.5,25.906735751295333,0.0033981800079345703
2,200,100.0,25.906735751295333,0.0032345851262410483
2,500,1.1,65.28497409326425,0.008107296625773112
2,500,2.1,59.84455958549223,0.00429385503133138
2,500,3.99,40.41450777202073,0.003676883379618327
2,500,7.6,39.119170984455955,0.003435818354288737
2,500,14.47,31.606217616580313,0.0034105857213338215
2,500,27.57,28.238341968911918,0.0033191760381062825
2,500,52.5,27.202072538860104,0.0034459670384724933
2,500,100.0,25.38860103626943,0.003275593121846517
2,1000,1.1,59.067357512953365,0.008270891507466634
2,1000,2.1,57.2538860103627,0.004378183682759603
2,1000,3.99,43.005181347150256,0.003591521581013997
2,1000,7.6,36.26943005181347,0.003470166524251302
2,1000,14.47,32.64248704663213,0.003418151537577311
2,1000,27.57,29.792746113989637,0.0033542394638061525
2,1000,52.5,25.38860103626943,0.0033112208048502604
2,1000,100.0,25.647668393782386,0.003247515360514323
10,5,1.1,89.89637305699482,0.014693037668863932
10,5,2.1,90.41450777202073,0.00772547721862793
10,5,3.99,86.01036269430051,0.0057693401972452795
10,5,7.6,72.53886010362694,0.006170256932576498
10,5,14.47,54.66321243523316,0.006234606107076009
10,5,27.57,45.33678756476684,0.006473628679911295
10,5,52.5,33.67875647668394,0.006215810775756836
10,5,100.0,28.756476683937827,0.0061475833257039385
10,20,1.1,82.90155440414507,0.028250773747762043
10,20,2.1,66.83937823834198,0.011642177899678549
10,20,3.99,58.03108808290155,0.007815996805826822
10,20,7.6,57.77202072538861,0.006752204895019531
10,20,14.47,46.1139896373057,0.006502755482991536
10,20,27.57,38.860103626943,0.006936415036519369
10,20,52.5,29.274611398963728,0.007406306266784668
10,20,100.0,29.274611398963728,0.007855566342671712
10,50,1.1,77.720207253886,0.03574673334757487
10,50,2.1,75.12953367875647,-0.069325852394104
10,50,3.99,67.35751295336787,0.008886098861694336
10,50,7.6,57.51295336787565,0.008672841389973958
10,50,14.47,51.03626943005182,0.008284171422322592
10,50,27.57,41.19170984455959,0.00716866652170817
10,50,52.5,30.569948186528496,0.007465442021687825
10,50,100.0,27.72020725388601,0.0071640491485595705
10,100,1.1,79.53367875647669,0.03467350800832113
10,100,2.1,67.35751295336787,0.014890527725219727
10,100,3.99,60.880829015544045,0.009062727292378744
10,100,7.6,55.181347150259064,0.00817853609720866
10,100,14.47,47.92746113989637,0.007654174168904623
10,100,27.57,36.52849740932643,0.007332468032836914
10,100,52.5,31.865284974093267,0.007125091552734375
10,100,100.0,26.94300518134715,0.007277592023213705
10,200,1.1,76.68393782383419,0.034736378987630205
10,200,2.1,70.46632124352331,0.01338652769724528
10,200,3.99,67.61658031088082,0.008449745178222657
10,200,7.6,57.2538860103627,0.007104849815368653
10,200,14.47,46.1139896373057,0.007009736696879069
10,200,27.57,38.860103626943,0.006721854209899902
10,200,52.5,30.310880829015545,0.006416447957356771
10,200,100.0,29.274611398963728,0.006399464607238769
10,500,1.1,80.31088082901555,0.032014719645182294
10,500,2.1,67.35751295336787,0.012688755989074707
10,500,3.99,63.212435233160626,0.008166678746541341
10,500,7.6,56.21761658031088,0.007023088137308757
10,500,14.47,45.854922279792746,0.00675800641377767
10,500,27.57,37.56476683937824,0.006604059537251791
10,500,52.5,29.792746113989637,0.006484468777974446
10,500,100.0,27.979274611398964,0.006456112861633301
10,1000,1.1,73.31606217616581,0.03184801737467448
10,1000,2.1,65.02590673575129,0.012831441561381022
10,1000,3.99,65.80310880829016,0.008090694745381674
10,1000,7.6,55.69948186528497,0.007101774215698242
10,1000,14.47,45.33678756476684,0.006663378079732259
10,1000,27.57,35.751295336787564,0.0066631555557250975
10,1000,52.5,30.310880829015545,0.006269200642903646
10,1000,100.0,27.461139896373055,0.006185785929361979
50,5,1.1,91.45077720207254,0.03056967258453369
50,5,2.1,91.96891191709845,0.014134883880615234
50,5,3.99,89.37823834196891,0.009227585792541505
50,5,7.6,90.41450777202073,0.008513601620992024
50,5,14.47,88.60103626943005,0.00967546304066976
50,5,27.57,82.12435233160622,0.011452205975850423
50,5,52.5,60.10362694300518,0.014507071177164713
50,5,100.0,46.89119170984456,0.01534128983815511
50,20,1.1,90.41450777202073,0.05557250181833903
50,20,2.1,89.89637305699482,0.023465657234191896
50,20,3.99,90.67357512953367,0.016860230763753255
50,20,7.6,83.16062176165802,0.016356762250264487
50,20,14.47,66.83937823834198,0.017676035563151043
50,20,27.57,56.476683937823836,0.01770029862721761
50,20,52.5,48.704663212435236,0.01664743423461914
50,20,100.0,39.37823834196891,0.016832272211710613
50,50,1.1,86.26943005181347,0.10833177566528321
50,50,2.1,86.78756476683938,0.042853569984436034
50,50,3.99,83.93782383419689,0.025608038902282713
50,50,7.6,73.57512953367875,0.022002681096394857
50,50,14.47,64.76683937823834,0.021395611763000488
50,50,27.57,56.21761658031088,0.01873592535654704
50,50,52.5,46.63212435233161,0.017860992749532064
50,50,100.0,37.56476683937824,0.017761373519897462
50,100,1.1,83.16062176165802,0.04522299766540527
50,100,2.1,82.12435233160622,0.04807242552439372
50,100,3.99,80.82901554404145,0.027020899454752605
50,100,7.6,72.02072538860104,0.021541444460550944
50,100,14.47,67.35751295336787,0.020041386286417644
50,100,27.57,61.6580310880829,0.018771847089131672
50,100,52.5,45.854922279792746,0.018268664677937824
50,100,100.0,39.37823834196891,0.017891645431518555
50,200,1.1,79.27461139896373,0.1380639632542928
50,200,2.1,79.53367875647669,0.048975348472595215
50,200,3.99,74.61139896373057,0.027686238288879395
50,200,7.6,73.05699481865285,0.021480782826741537
50,200,14.47,61.13989637305699,0.02025298277537028
50,200,27.57,54.40414507772021,0.0181337038675944
50,200,52.5,46.63212435233161,0.017354583740234374
50,200,100.0,37.56476683937824,0.017098259925842286
50,500,1.1,82.64248704663213,0.14297842184702556
50,500,2.1,78.23834196891191,0.051352675755818686
50,500,3.99,72.53886010362694,0.027377963066101074
50,500,7.6,70.72538860103627,0.02129526933034261
50,500,14.47,58.549222797927456,0.020243604977925617
50,500,27.57,53.626943005181346,0.018547256787618
50,500,52.5,45.33678756476684,0.017400733629862466
50,500,100.0,36.01036269430052,0.017405422528584798
50,1000,1.1,81.60621761658031,0.14269859790802003
50,1000,2.1,81.34715025906736,0.05034917195638021
50,1000,3.99,79.01554404145078,0.027660544713338217
50,1000,7.6,67.87564766839378,-0.06285178661346436
50,1000,14.47,66.06217616580311,0.019803929328918456
50,1000,27.57,52.331606217616574,0.018598389625549317
50,1000,52.5,43.005181347150256,0.01782248020172119
50,1000,100.0,36.787564766839374,0.016864220301310223
100,5,1.1,91.19170984455958,0.05551434357961019
100,5,2.1,90.15544041450777,0.024814597765604653
100,5,3.99,86.52849740932642,0.014483110109965006
100,5,7.6,89.89637305699482,0.011945414543151855
100,5,14.47,90.41450777202073,0.01222374439239502
100,5,27.57,88.60103626943005,0.014055506388346354
100,5,52.5,87.56476683937824,0.01645199457804362
100,5,100.0,60.62176165803109,0.023892553647359212
100,20,1.1,91.45077720207254,0.07369321982065836
100,20,2.1,90.93264248704664,0.028957875569661458
100,20,3.99,90.41450777202073,0.01932188669840495
100,20,7.6,88.3419689119171,0.020166945457458497
100,20,14.47,84.4559585492228,0.023281129201253255
100,20,27.57,72.02072538860104,0.027888178825378418
100,20,52.5,59.32642487046632,0.02961545785268148
100,20,100.0,49.22279792746114,0.029066999753316242
100,50,1.1,88.08290155440415,0.13080214659372966
100,50,2.1,90.15544041450777,0.05770436922709147
100,50,3.99,88.86010362694302,0.03615016937255859
100,50,7.6,82.64248704663213,0.03381814956665039
100,50,14.47,72.02072538860104,0.033315205574035646
100,50,27.57,66.06217616580311,0.032027761141459145
100,50,52.5,56.73575129533679,0.031354276339213054
100,50,100.0,46.373056994818654,0.03047931989034017
100,100,1.1,89.11917098445595,0.13283578554789224
100,100,2.1,86.52849740932642,0.08159449100494384
100,100,3.99,81.34715025906736,0.046686617533365886
100,100,7.6,77.46113989637306,0.03763836224873861
100,100,14.47,69.94818652849742,0.03408910433451335
100,100,27.57,62.43523316062176,0.032584643363952635
100,100,52.5,51.03626943005182,0.03096628189086914
100,100,100.0,49.48186528497409,0.030980896949768067
100,200,1.1,84.4559585492228,0.254619558652242
100,200,2.1,87.30569948186529,0.09145006338755289
100,200,3.99,82.64248704663213,0.0499083677927653
100,200,7.6,74.61139896373057,0.039201966921488446
100,200,14.47,69.68911917098445,0.034521261850992836
100,200,27.57,63.47150259067358,0.03331501483917236
100,200,52.5,54.145077720207254,0.030646832784016927
100,200,100.0,43.78238341968912,0.03009033203125
100,500,1.1,84.4559585492228,0.1888458251953125
100,500,2.1,83.41968911917098,0.09493634700775147
100,500,3.99,84.4559585492228,0.0505871057510376
100,500,7.6,75.12953367875647,0.039152336120605466
100,500,14.47,72.279792746114,0.03510310649871826
100,500,27.57,60.62176165803109,0.033015354474385576
100,500,52.5,54.92227979274611,0.030849130948384602
100,500,100.0,46.1139896373057,0.03033456802368164
100,1000,1.1,82.12435233160622,0.27981489499409995
100,1000,2.1,77.2020725388601,0.09608275095621745
100,1000,3.99,78.23834196891191,0.0511965274810791
100,1000,7.6,75.12953367875647,0.03924481074015299
100,1000,14.47,66.58031088082902,0.035218461354573564
100,1000,27.57,62.17616580310881,0.03237693309783936
100,1000,52.5,55.181347150259064,0.031449476877848305
100,1000,100.0,45.59585492227979,0.03082396984100342
500,5,1.1,77.720207253886,0.20481291611989338
500,5,2.1,91.45077720207254,0.1049939791361491
500,5,3.99,86.01036269430051,0.054064671198527016
500,5,7.6,88.86010362694302,0.037725941340128584
500,5,14.47,89.89637305699482,0.035659392674764
500,5,27.57,89.89637305699482,0.0371164878209432
500,5,52.5,89.89637305699482,0.04304947058359782
500,5,100.0,88.3419689119171,0.053709975878397626
500,20,1.1,90.93264248704664,0.25525306860605873
500,20,2.1,86.52849740932642,0.09821985562642416
500,20,3.99,85.49222797927462,0.050698375701904295
500,20,7.6,90.15544041450777,0.040741745630900064
500,20,14.47,88.86010362694302,0.04124735991160075
500,20,27.57,90.67357512953367,-0.03170079390207926
500,20,52.5,89.11917098445595,0.07241849104563396
500,20,100.0,73.31606217616581,0.1051254669825236
500,50,1.1,90.93264248704664,0.27769904136657714
500,50,2.1,91.19170984455958,0.10282873312632243
500,50,3.99,91.45077720207254,0.059488073984781904
500,50,7.6,91.19170984455958,0.05261654059092204
500,50,14.47,91.70984455958549,0.06396633783976237
500,50,27.57,87.30569948186529,0.088948655128479
500,50,52.5,80.05181347150258,0.1149117390314738
500,50,100.0,74.87046632124353,0.042795809110005696
500,100,1.1,91.70984455958549,0.3631219546000163
500,100,2.1,91.70984455958549,0.13093726634979247
500,100,3.99,90.15544041450777,0.08481170336405436
500,100,7.6,88.86010362694302,0.09147416750590007
500,100,14.47,87.56476683937824,0.10573878288269042
500,100,27.57,81.34715025906736,0.1288638750712077
500,100,52.5,75.90673575129534,0.13260184129079183
500,100,100.0,67.61658031088082,0.04974009990692139
500,200,1.1,90.93264248704664,0.5181632518768311
500,200,2.1,89.89637305699482,0.20993639628092448
500,200,3.99,90.67357512953367,0.141119917233785
500,200,7.6,89.11917098445595,0.05234495004018148
500,200,14.47,81.34715025906736,0.14447108109792073
500,200,27.57,76.42487046632125,0.14091747601826984
500,200,52.5,74.87046632124353,0.13767511049906414
500,200,100.0,68.13471502590673,0.1341436465581258
500,500,1.1,86.26943005181347,0.9797860225041707
500,500,2.1,87.8238341968912,0.3899680693944295
500,500,3.99,86.01036269430051,0.13359302679697674
500,500,7.6,85.75129533678756,0.17250135739644368
500,500,14.47,81.86528497409327,0.15800398190816242
500,500,27.57,76.16580310880829,0.1480237086613973
500,500,52.5,75.12953367875647,0.14020380973815919
500,500,100.0,69.17098445595855,0.13855498631795246
500,1000,1.1,83.16062176165802,1.166067083676656
500,1000,2.1,86.52849740932642,0.352964456876119
500,1000,3.99,85.23316062176166,0.231587815284729
500,1000,7.6,82.90155440414507,0.17591578960418702
500,1000,14.47,80.31088082901555,0.15721952120463054
500,1000,27.57,80.82901554404145,0.06199690500895182
500,1000,52.5,68.9119170984456,0.14067651430765787
500,1000,100.0,67.61658031088082,0.13364356358846027
1000,5,1.1,88.08290155440415,0.5840961853663127
1000,5,2.1,90.67357512953367,0.1327027161916097
1000,5,3.99,84.19689119170984,0.10325623353322347
1000,5,7.6,87.56476683937824,0.07043298085530598
1000,5,14.47,88.3419689119171,0.0641314427057902
1000,5,27.57,91.19170984455958,0.06611362298329672
1000,5,52.5,88.08290155440415,0.07489748001098633
1000,5,100.0,89.89637305699482,0.09110467433929444
1000,20,1.1,83.41968911917098,0.5342527627944946
1000,20,2.1,88.86010362694302,0.19434438546498617
1000,20,3.99,86.78756476683938,0.0956936756769816
1000,20,7.6,89.11917098445595,0.06973317464192709
1000,20,14.47,90.41450777202073,0.0672824780146281
1000,20,27.57,90.93264248704664,0.07632267475128174
1000,20,52.5,90.15544041450777,0.10247114499409994
1000,20,100.0,87.04663212435233,0.14125264485677083
1000,50,1.1,90.67357512953367,0.4148471593856812
1000,50,2.1,91.19170984455958,0.18938856124877929
1000,50,3.99,89.11917098445595,0.09877588748931884
1000,50,7.6,91.19170984455958,0.08075780868530273
1000,50,14.47,91.19170984455958,0.08729877471923828
1000,50,27.57,88.60103626943005,0.11425429979960124
1000,50,52.5,82.90155440414507,0.1604160229365031
1000,50,100.0,87.04663212435233,0.1394656181335449
1000,100,1.1,91.70984455958549,0.5551540851593018
1000,100,2.1,91.96891191709845,0.198971684773763
1000,100,3.99,90.41450777202073,0.11234462261199951
1000,100,7.6,89.37823834196891,0.10135157903035481
1000,100,14.47,90.93264248704664,0.04537466367085775
1000,100,27.57,89.63730569948186,0.17746857007344563
1000,100,52.5,83.93782383419689,0.23436148166656495
1000,100,100.0,77.2020725388601,0.2585056066513062
1000,200,1.1,91.96891191709845,0.6987401564915975
1000,200,2.1,91.70984455958549,0.28880249659220375
1000,200,3.99,90.93264248704664,0.18191696008046468
1000,200,7.6,87.30569948186529,0.10581782658894857
1000,200,14.47,87.8238341968912,0.22662519613901774
1000,200,27.57,84.71502590673575,0.2773831129074097
1000,200,52.5,81.86528497409327,0.29471240838368734
1000,200,100.0,73.57512953367875,0.20367966492970785
1000,500,1.1,88.3419689119171,1.3174622933069864
1000,500,2.1,88.3419689119171,0.5599798838297526
1000,500,3.99,90.15544041450777,0.24941181341807048
1000,500,7.6,89.89637305699482,0.31248658498128257
1000,500,14.47,84.4559585492228,0.3155403216679891
1000,500,27.57,83.93782383419689,0.23677165508270265
1000,500,52.5,78.75647668393782,0.3080585559209188
1000,500,100.0,75.64766839378238,0.29450058937072754
1000,1000,1.1,86.78756476683938,2.0882136742273967
1000,1000,2.1,88.3419689119171,0.727257760365804
1000,1000,3.99,87.30569948186529,0.4420852343241374
1000,1000,7.6,85.49222797927462,0.26715879440307616
1000,1000,14.47,82.90155440414507,0.32154319286346433
1000,1000,27.57,82.12435233160622,0.3070597887039185
1000,1000,52.5,79.53367875647669,0.20270317395528156
1000,1000,100.0,73.83419689119171,0.2740679105122884
1500,5,1.1,90.41450777202073,0.9232251723607381
1500,5,2.1,91.96891191709845,0.3223912080128988
1500,5,3.99,86.01036269430051,0.15920524597167968
1500,5,7.6,85.49222797927462,0.10659590562184652
1500,5,14.47,87.04663212435233,0.09480413595835367
1500,5,27.57,88.60103626943005,0.09519539674123129
1500,5,52.5,87.8238341968912,0.02320385773976644
1500,5,100.0,87.04663212435233,0.12599437236785888
1500,20,1.1,84.97409326424871,0.8407714207967122
1500,20,2.1,90.93264248704664,0.22543922265370686
1500,20,3.99,85.75129533678756,0.14835546811421713
1500,20,7.6,86.52849740932642,0.10396741231282552
1500,20,14.47,89.63730569948186,0.10016310214996338
1500,20,27.57,87.8238341968912,0.10588930447896322
1500,20,52.5,87.30569948186529,0.13229813575744628
1500,20,100.0,90.41450777202073,0.17904476324717203
1500,50,1.1,90.41450777202073,0.6670591115951539
1500,50,2.1,84.97409326424871,0.29491219520568845
1500,50,3.99,86.26943005181347,0.06351985136667887
1500,50,7.6,90.15544041450777,0.11349334716796874
1500,50,14.47,91.19170984455958,0.1154492219289144
1500,50,27.57,88.60103626943005,0.1465247631072998
1500,50,52.5,90.93264248704664,0.20271933873494466
1500,50,100.0,82.90155440414507,0.29701762199401854
1500,100,1.1,90.67357512953367,0.6753641843795777
1500,100,2.1,92.2279792746114,0.27993179162343346
1500,100,3.99,91.45077720207254,0.153921111424764
1500,100,7.6,90.93264248704664,0.04459992249806722
1500,100,14.47,90.15544041450777,0.1525772174199422
1500,100,27.57,88.08290155440415,0.21049503485361734
1500,100,52.5,84.4559585492228,0.29014403820037843
1500,100,100.0,82.38341968911918,0.3642080465952555
1500,200,1.1,91.96891191709845,0.8353026866912842
1500,200,2.1,92.48704663212435,0.251440167427063
1500,200,3.99,91.96891191709845,0.19240272045135498
1500,200,7.6,91.45077720207254,0.19327752590179442
1500,200,14.47,87.30569948186529,0.241433048248291
1500,200,27.57,83.41968911917098,0.2328595479329427
1500,200,52.5,85.23316062176166,0.3768045981725057
1500,200,100.0,80.05181347150258,0.39679080645243325
1500,500,1.1,91.45077720207254,1.21392822265625
1500,500,2.1,90.41450777202073,0.5332730690638224
1500,500,3.99,90.15544041450777,0.3702641169230143
1500,500,7.6,91.19170984455958,0.27499720255533855
1500,500,14.47,89.63730569948186,0.42416350841522216
1500,500,27.57,86.01036269430051,0.42152947584788003
1500,500,52.5,83.93782383419689,0.3287181774775187
1500,500,100.0,81.34715025906736,0.40432327588399253
1500,1000,1.1,87.04663212435233,2.3213730335235594
1500,1000,2.1,89.37823834196891,0.8930239756902059
1500,1000,3.99,88.60103626943005,0.5811876058578491
1500,1000,7.6,86.01036269430051,0.40600062211354576
1500,1000,14.47,88.86010362694302,0.45903212229410806
1500,1000,27.57,83.16062176165802,0.43859808444976806
1500,1000,52.5,81.60621761658031,0.32812387943267823
1500,1000,100.0,74.61139896373057,0.40644567012786864
2000,5,1.1,82.64248704663213,1.1451782623926798
2000,5,2.1,89.89637305699482,0.3455563465754191
2000,5,3.99,89.37823834196891,0.1993685801823934
2000,5,7.6,87.04663212435233,0.13824628194173177
2000,5,14.47,85.49222797927462,0.12284167607625325
2000,5,27.57,88.3419689119171,0.12283399899800619
2000,5,52.5,91.96891191709845,0.13401910463968914
2000,5,100.0,88.08290155440415,0.16084908644358317
2000,20,1.1,85.49222797927462,0.9812051216761272
2000,20,2.1,90.93264248704664,0.40997107823689777
2000,20,3.99,85.49222797927462,0.19301087856292726
2000,20,7.6,86.52849740932642,0.13577868143717448
2000,20,14.47,90.67357512953367,0.12543465296427408
2000,20,27.57,89.11917098445595,0.13648380438486735
2000,20,52.5,89.11917098445595,0.08159957726796468
2000,20,100.0,87.30569948186529,0.21451674302419027
2000,50,1.1,91.19170984455958,0.9139068682988485
2000,50,2.1,90.15544041450777,0.3834457159042358
2000,50,3.99,84.97409326424871,0.18682951132456463
2000,50,7.6,89.89637305699482,0.14250795046488443
2000,50,14.47,87.30569948186529,0.05608630180358887
2000,50,27.57,89.37823834196891,0.16655294895172118
2000,50,52.5,86.01036269430051,0.2390491803487142
2000,50,100.0,81.60621761658031,0.3399117628733317
2000,100,1.1,85.49222797927462,1.0038761059443155
2000,100,2.1,86.01036269430051,0.33236078421274823
2000,100,3.99,91.70984455958549,0.1792532205581665
2000,100,7.6,91.19170984455958,0.14938604831695557
2000,100,14.47,89.89637305699482,0.16684588591257732
2000,100,27.57,86.52849740932642,0.2233428478240967
2000,100,52.5,88.3419689119171,0.32939886252085365
2000,100,100.0,82.64248704663213,0.41633965174357096
2000,200,1.1,91.45077720207254,1.0643633683522542
2000,200,2.1,91.70984455958549,0.3712341626485189
2000,200,3.99,91.19170984455958,0.21009129683176678
2000,200,7.6,91.45077720207254,0.1946554978688558
2000,200,14.47,89.63730569948186,0.23625628153483072
2000,200,27.57,88.08290155440415,0.3300878206888835
2000,200,52.5,87.30569948186529,0.43197359244028727
2000,200,100.0,82.90155440414507,0.484404993057251
2000,500,1.1,91.70984455958549,1.4768773953119914
2000,500,2.1,91.45077720207254,0.5244679053624471
